Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
217907742171778,Germain Garfias,Germain Garfias,91770,66
219469368674864,Querétaro Orgullo de México,SOME CONTENT MARKETING,91761,138
101625421763525,San Luis Potosí Times,San Luis Potosi Times MX.,91144,19
820039028079165,Gerardo Pliego,Gerardo Pliego,91114,24
261183793923166,Ismael Del Toro Castro,Gobierno de Guadalajara,90277,24
1420596421583045,José Narro Céspedes,José Narro Céspedes,90024,289
1878965038824465,Xiudadanos Mx,Xiudadanos Mx,89326,66
101130375043528,Buenas Noticias México,Buenas Noticias,89207,10
112216313917441,Yo con Marina,Yo con Marina,88957,87
421877377878288,Municipio de Querétaro,Municipio de Querétaro,88730,83
282554605481439,Selina,These ads ran without a disclaimer,88584,3
628482797517617,Democracia Moderna,Democracia Moderna,87970,6
333932057250036,Alejandro Rojas Díaz Durán,ARDD,87743,13
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,87627,22
437088163017257,Secretaría de Salud de Guanajuato,Difraxion Group,87500,35
339369802936903,Ana Lilia Rivera Rivera,Ernesto Lopez Guerrero,86976,90
288143921799948,H Ayuntamiento de Campeche,H. Ayuntamiento de Campeche,86835,56
327301994408641,Querétaro Tuyo,SOME CONTENT MARKETING,85812,155
331265457526945,El Blog del Narco,El Blog del Narco Remasterizado,85004,8
2080742535476556,"Secretaría de Finanzas, Inversión y Administración",Ads Project Media,84947,11
1637462289838029,Diputados Morena,Diputados Morena,83836,115
628080421179736,Código Sinaloa,Arturo Vázquez Rodríguez,83000,8
235994093744848,Contra Réplica,Contra Réplica,82960,58
110148990581767,Revolución Morena,Revolución Morena,82115,9
107680224300245,Contraste México,MEDIO CONTRASTE,82000,16
897708376929726,México Opina,México elige,80996,18
454013577974506,IEEM Oficial,IEEM Oficial,80279,418
102908651561799,Fundadores de Morena,Fundadores de Morena,79417,9
609292669728172,Querétaro al Día,Arturo Vázquez Rodríguez,79368,10
110402150604275,República MX,República MX,78897,65
130352294189330,Adrián Oseguera,Ezequiel Galero Ponce,78873,124
708801255893393,Corrupción México,Corrupción México,78321,8
335598899895433,Luis Aguilar,Luis Aguilar,78306,62
760062017438548,Marco Gama,Marco Gama,77470,182
2559275544114982,Félix "Moyo" García,Moyo García,76387,139
1238177342897317,Ricardo Exsome,Ricardo Francisco Exsome Zapata,76229,101
233652128065243,Goberna México,Goberna,75286,97
1525294911021340,Salvador Rosas,Chava Rosas,74684,70
104448521121857,Hagamos Jalisco,Hagamos Jalisco,74420,124
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,74409,53
1414841518773835,María Alemán Muñoz Castillo,María Alemán Muñoz Castillo,74328,92
1734951530056727,Carmen Lilia Canturosas,Carmen Lilia Canturosas,73417,131
305636059561241,Evodio Velázquez Aguirre,Christian Zamora Etzael Ramirez,73293,41
196705420663884,Código Magenta,Código Magenta,72824,232
151179508344862,Toño Ixtláhuac,Toño Ixtláhuac,72732,316
584134445055078,Yahleel Abdala,Yahleel Abdala,72495,32
101222681541195,ECA LNG,Ulises Breton Diaz,72164,5
461461504595100,Anonymous Playa del Carmen,Anonymous Playa del Carmen,71800,10
108281881056499,Luis Fernando Salazar,Luis Fernando Salazar Fernandez,71572,12
1024449434274133,Partido Verde Coahuila,Partido Verde Ecologista de México,71323,11
149334611927297,Benjamín Robles,PT Oaxaca,70771,99
479303628822906,Movimiento Ciudadano Sonora,Movimiento Ciudadano Sonora,70469,6
136017836425540,Gobierno del Estado de Sonora,Gobierno del Estado de Sonora,70363,11
146854998658908,Metropolitano Aguascalientes,Alan Palafox Porter,69976,145
190668524446719,Cuauhtémoc Blanco,Gobierno Estado de Morelos,69183,7
172266159454352,Gustavo Madero,Gustavo Madero,68757,92
1530258963929837,Gobierno Municipal Guanajuato,Ads Project Media,68419,11
124631600949535,Yo Influyo,Yo Influyo,68402,312
450229428486575,Enrique de la Rosa,Enrique De La Rosa Luna Parra,67958,23
393851270632362,Maru Campos Galván,Gobierno Municipal de Chihuahua,67844,32
116413566857665,La Gaceta del Movimiento,La gaceta del movimiento,67400,7
